Nomor laporan,Keterangan Laporan,Foto Laporan,Status laporan,Tanggal lapor,Tanggal ditindaklanjuti,Kategori,Lat,Lng,Kelurahan,Kecamatan,Kota,Provinsi
1067466,#trotoar nya mana,http://lh3.googleusercontent.com/GuB4F3Mp1-Rklsknf5BysBf-GLXgVuDFe0bOjfBcESbaoSwHALCANKeYdGyUHhQjdwLwgLUq8V2hNzuaj3Jhwgm_gpA=s480-c,wait,25/10/2017,,Kaki Lima Liar,-6.194692,106.820023,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1068875,Jualan di trotoar,http://lh3.googleusercontent.com/CcALZVaqzRVA6JAD2mySfFwpJmI4hmyQJDsfFwwjeA2Wn6zOP32ReqoXG9igNRR1MRdhO77uoB3sFK6G6J9Z-WdlOXf3=s480-c,complete,27/10/2017,29/10/2017,Kaki Lima Liar,-6.18733,106.817139,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1069143,"#trotoar #bikinmacet,  sebenarnya trotoar itu buat pejalan kaki atau buat dagang ya,  sama aja donk di buat trotoar kalau pejalan kaki jalan nya tidak bisa alias sempit atau berdesak desak an. Tolong di TL. Thanks",http://qlueinvideos.storage.googleapis.com/59f3fcf4254a4.mp4,complete,28/10/2017,29/10/2017,Kaki Lima Liar,-6.184793,106.811142,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1069277,"Tanah Abang semrawut lagi PKL sudah mulai bebas berdagang di badan jalan, di trotoar dan menimbulkan kemacetan, Bukannya masih Bulan tertib Trotoar ? sampah berserakan",http://lh3.googleusercontent.com/sNcbP0milTZ01n3KuEMxSwzM4PDjCwTDUFjOyo6ZynuMxRVVMOeyA73o1wBL1tVEFSfKdATubotI0NYDHRKNiiam0eJ-=s480-c,complete,28/10/2017,31/10/2017,Kaki Lima Liar,-6.188443,106.812691,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1072101,"sangat menganggu aktifitas dan lahan pemilik ingin mengunakan tetapi pedagang liar tdk angkat kaki
sdh beberapa kali dibicarakan baik2 tetapi tetep berjualan di trotoar...",http://lh3.googleusercontent.com/MnMZ8D-95gCqiwkxw-7WNuU4HThY7TZT6jY_mx_jfV_Lhum3HjR_z-9cUxK2biiTGbA92aQO3Y84HKFBaZPDRGdHncba=s480-c,wait,03/11/2017,,Kaki Lima Liar,-6.205778,106.816628,Karet Tengsin,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1072638,PKL vip abadi bebas berjualan diatas trotoar #pedesterianfirst #trotoarygdibajak #trotoar,http://lh3.googleusercontent.com/-LW8S63dUKGurbv9AIQmiglsElMIZsPir-xnYTOopeMkwJeFwJHFsyCBkeMqllJVZsFBos20lAyQx-2lbHBEXtfjBDML=s480-c,wait,04/11/2017,,Kaki Lima Liar,-6.217346,106.798172,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1074449,#bikinmacet #trotoar gimana caranya nunggu bis kalo gini?,http://qlueinvideos.storage.googleapis.com/5a02eb83b0cd4.mp4,process,08/11/2017,,Kaki Lima Liar,-6.21632,106.815971,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1074687,pedagamg berdagang di trotoar bikin macettt,http://qlueinvideos.storage.googleapis.com/5a03e41690452.mp4,complete,09/11/2017,13/11/2017,Kaki Lima Liar,-6.184926,106.811012,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1077192,#trotoar dan sumpek diliat pedagang ini,http://lh3.googleusercontent.com/zNVpRsUMywT6TEQ0uqtx26_Umr3K1wb8jwMIC9WosVVrBmG2R-CisXSp29aEGBXgjAiLtwUUHoyIt78jUrDDkrYDMKcD=s480-c,complete,14/11/2017,12/12/2017,Kaki Lima Liar,-6.204543,106.799942,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1077433,Jualan ban di trotoar menutup akses pejalan kaki,http://lh3.googleusercontent.com/6qhPc_w9VTmB-eN9X9KdrIWUOyp3RNLluDQHvzGTndY_AHQwLlZQQz06JA0xPdBnsikV0ElLPzhXtCnD9iYZEWbg_Grk=s480-c,wait,15/11/2017,,Kaki Lima Liar,-6.194579,106.820602,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1080105,PKL Hotel Ayana (Intercontinental) bertahun2 tidak pernah dibasmi. Sudah jalanan dan trotoar diperluas pun masih dagang dijalanan.,http://lh3.googleusercontent.com/uwPCgIWLtDuo-RGprGnOT_PoU4HrLv-PCrTguPCSDctf6yp_GdbhupPpoeGDSzCi1VhKmOI3dH7UdKQe-rmEvLIFj53-=s480-c,wait,21/11/2017,,Kaki Lima Liar,-6.209396,106.820999,Karet Tengsin,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1080925,Berdagang warung nasi di trotoar 1x24 jam x 12 bulan x bertahun tahun. Ada penertiban geser sebentar balik lagi jualan di trotoar #bikinmacet #atassaluran #trotoar,http://lh3.googleusercontent.com/ukwPYMJAaZujB-dEnSplIA9KdNw6fhJ2LYyirUhX7ur9mqiGrDqvvCNFIZGpZV45rQo8CjFf3AnOj-bGC3HhrCqiyON5=s480-c,wait,23/11/2017,,Kaki Lima Liar,-6.187438,106.817192,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1089603,Mohon di TL.. Warung Sakti (setiap ada Razia selalu tutup/lolos) #trotoar Jl. Kh Wahid Hasyim. Kp Bali (Seberang Fave Hotel),http://lh3.googleusercontent.com/o4LfWas0BuoqD0-H_IQwHsF08Czr9LycIKVX1Yz5P_O4PA7TrVJqvtQoqj-puCKKj-NCAVvy_sT_0D_ig_pudeqJCkmQ=s480-c,wait,11/12/2017,,Kaki Lima Liar,-6.186977,106.821686,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090051,#trotoar resmi ya? Gak gitu jg kali,http://lh3.googleusercontent.com/70Szvz01nygq-7rHSXclLsMwscd4_3RnV5WqeBDv-hkDSCJ8DcRfU81vjWGk2FC80gur8L1mFHmI8BWmseSerSJX6wI=s480-c,wait,12/12/2017,,Kaki Lima Liar,-6.194061,106.81459,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090053,#trotoar,http://lh3.googleusercontent.com/RlehR4g84DjunFPnSp0stEaBPrJM7eki031sYxNZd98VyvLThFZUC-3k0Irxkw-XoFrxNAnr9wy9nwpYF6i0yBXxGUk=s480-c,wait,12/12/2017,,Kaki Lima Liar,-6.194061,106.81459,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090057,#trotoar,http://lh3.googleusercontent.com/xFvK3ZzAtKvajrkLFvFGOIS5vSGYb_ynC0XArNKxlvkIKZooiVq0hyGoijbXi_mqfghpn8eNH6WmfAl551wYPE69YQDK=s480-c,wait,12/12/2017,,Kaki Lima Liar,-6.197814,106.814522,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090058,#atassaluran #trotoar,http://lh3.googleusercontent.com/RHRlVb7I0ZOcXs9fljxTd6S2fyeEvY5HvMfgNzwCXLmCQmta2_HRp6kj6GsETJndfLk-jmlUgPfBG611tlDvRtwfkok=s480-c,wait,12/12/2017,,Kaki Lima Liar,-6.197814,106.814522,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090068,#trotoar #atassaluran,http://lh3.googleusercontent.com/4Fw5SfD3_23TIP8Y4fzux0YmWQ7hRUHM6K2nxiaxpCMOXbRTJACPiu_lYADPBhw_PJvTAezrhWBBewfPhKdsbjIo5sg=s480-c,complete,12/12/2017,30/01/2018,Kaki Lima Liar,-6.20309,106.80777,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090070,#trotoar #atassaluran,http://lh3.googleusercontent.com/JRZHjg00t3lW9MAyITEZMVzMJrFBNoPLKcZaXmJTMj7POI_gJx2skSnuh1GR09PcVJKIJJUmGMGwUqrcmlHTFOTjYIw=s480-c,complete,12/12/2017,30/01/2018,Kaki Lima Liar,-6.20428,106.808784,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090077,#trotoar #atassaluran,http://lh3.googleusercontent.com/fm6n_mjll0zJXYZpDq8gvmJaZ6cAzmtZwhZ7py0O33btXY74FdjN0E3LCXJK58wx9EXP9LUcpKWZbgZDHvcL4SEfo5uD=s480-c,complete,12/12/2017,31/01/2018,Kaki Lima Liar,-6.206705,106.810593,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090082,#trotoar #atassaluran,http://lh3.googleusercontent.com/SabWPMxR7duI7RdWJ24ZxuFGkCaGT9Ku4MP3XYsdKWCP2kxniKMP6CMR6mMCvTvoMgzp3MSqbnCKP_0_CmnmC2Obmxnk=s480-c,complete,12/12/2017,01/02/2018,Kaki Lima Liar,-6.207386,106.81089,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090083,#trotoar #atassaluran #bahujalan #bikinmacet,http://lh3.googleusercontent.com/jdWH-0zqHwYaVcoy-i9cxsFhtumfNYN2cXvG7Vo5ljuL0-0FLJlclX66QaXF5ccrPWp5HTPcjLrd2kSrM0N_ML9S1yXwYQ=s480-c,complete,12/12/2017,30/01/2018,Kaki Lima Liar,-6.207807,106.81131,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090084,#trotoar #atassaluran,http://lh3.googleusercontent.com/9BCg6Y1h9eWvlGrjBVZYvMax128aHhAI1GQvuoiE9_xTbMD7AFaMy7KBgO0Rl0BE-R_3dwQPFeKKG3uunJRPo8NBDZ6B=s480-c,complete,12/12/2017,30/01/2018,Kaki Lima Liar,-6.208211,106.811722,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090227,#trotoar #atassaluran,http://lh3.googleusercontent.com/CmIC5iHRg_WY69B38NN5vXiqkDogjeNTOLvEkg3l9OSUyT2lP-ctqNGsIOxzVyL4dsm9jv5I1A7lLmuBlgWkJmlpK5OScg=s480-c,wait,12/12/2017,,Kaki Lima Liar,-6.197487,106.814201,Kebon Melati,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090239,#trotoar #bahujalan,http://lh3.googleusercontent.com/bMvqi7BbtzEic0YZ6QNRbBDvL2Ay7e2Z-hu2b_w-0iB_-Acpit7aoSeux6itZrzkTAUWm9q58u9K3VuDg3zDfu1zIYRr=s480-c,process,12/12/2017,,Kaki Lima Liar,-6.190813,106.81485,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090242,#trotoar #bahujalan,http://lh3.googleusercontent.com/wgCczhaGfjtRg-U_LY71QvojkbKStSxbwgdUp1tR9J2t988Oswg5H2ER_1uk9n6mEXU5Be-n5XhByPt3Dkb85Mkjafj9=s480-c,process,12/12/2017,,Kaki Lima Liar,-6.190813,106.81485,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1090270,Trotoar di sepanjang jalan penjernihan dan benhil di kuasai pedagang dan parkir liar #pedestrianfirst,http://lh3.googleusercontent.com/IA4d8o199A3YsnCrd40XOdcLtSBdPxfv2pmXD2MxEiDUWrWNIbv3Q1H61rBcgHKCna_siW6ePExXEnUIWZJ7oa75xy6K6A=s480-c,complete,12/12/2017,30/01/2018,Kaki Lima Liar,-6.208259,106.811432,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1091728,#trotoar dibajak,http://lh3.googleusercontent.com/x3CEKiCkXbjeeWDSZ8fCCWvtAHm8dOFrBV-OOCS2giWIWiOE4pSHiFR4IK59o8Npg7BQ8NZaCMcFoeTPDcZdDjJidw-U=s480-c,wait,15/12/2017,,Kaki Lima Liar,-6.199268,106.802589,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1093028,#bikinmacet #trotoar #atassaluran,http://lh3.googleusercontent.com/mD0_XrazW2xM1DVqmPPsNYtq7uMXGxFidCyzYfyslKiRnq2sWoaUY_2B6SjRvy6mB4P5TAm2xymCVoXB-fEQOe0O_Bw=s480-c,process,19/12/2017,,Kaki Lima Liar,-6.190612,106.81517,Kebon Kacang,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1094447,Ini apa yg ditata ya? Trotoar jadi tempat dagang PKL #bikinmacet #trotoar,http://lh3.googleusercontent.com/NxGio61Gnet8D276yADpwMdhcuKoy5ORK7VdXN8tRhZbnMb7Lb4iBsnCtQBDE6wz9wQPC3w8AXQwXB4oTVOsiBACt0-RAg=s480-c,complete,23/12/2017,31/01/2018,Kaki Lima Liar,-6.188611,106.811943,Kampung Bali,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1095357,#trotoar kotor bekas sampah dan warung yg kotor jorok di atas trotoar,http://lh3.googleusercontent.com/3ftNabYn1X0EuHvlmw8b1D-1SBO3TtgTN_FHxWoHmZbLLaOxsbsIqUC9CcXiJMknb1VbPQERtvVtQFjZky44-VdQ4FhQ=s480-c,wait,25/12/2017,,Kaki Lima Liar,-6.204837,106.799583,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1096165,Trotoar digunakan di perbaiki dan di perbagus bertujuan untuk berjualan/pejalan kaki???,http://lh3.googleusercontent.com/_4mFUWDgbEotoCiA9sjUE6MteXoHpko5lwQmgYvfXC5CwoK7MHSugE5i4OYSdpf8GS-M3v3JLdEqDWMPE5AhUnU00VyB=s480-c,wait,28/12/2017,,Kaki Lima Liar,-6.204009,106.797241,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1096492,pedagang kaki lima liar.. seharusnya semua sudah ditertibkan dan dipindahkan ke seberang patung panahan (jl.asia afrika) #trotoar #senayan #panahan #pkl #liar,http://lh3.googleusercontent.com/8C_WHTgnjn91N3VTy7kGvpPdB2Rhnlqgp-kvv80WczcBzT5iEWzb21KFdkGMeBZKEkB9jPtkRPJO900yfAn77P8Leqk=s480-c,wait,29/12/2017,,Kaki Lima Liar,-6.219137,106.798386,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1103865,Di sudirman sudah boleh ya PKL di #trotoar ?,http://lh3.googleusercontent.com/SJ6fzX5WuFjgFA1bgyhurVfS9h-yjiekZPtPDB4vwxjQk8OejSIs2vRCXWu0_BcjpDF6Z3sD9S1AjVd_rUueweSaPAC8=s480-c,complete,19/01/2018,23/01/2018,Kaki Lima Liar,-6.226389,106.803329,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1105200,#trotoar #PedestrianFirst mau lewat mana nih pejalan kakinya??,http://lh3.googleusercontent.com/JuK_liP-C6DsWkliQXNIP2_DXkpjzFmM0QlnDSAtf0RzvpDgshlJId_fj8z-ODQnL0yHn2pfSlcoLSfLeqFqqWSZUKwV=s480-c,wait,23/01/2018,,Kaki Lima Liar,-6.198013,106.803551,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1105203,#trotoar #PedestrianFirst mau lewat mana nih pejalan kakinya??,http://lh3.googleusercontent.com/l4TRTB5Ft83tMJ9Q-LvA11ku8d28ygu54tWR8f_HusVrQx8pBeC3_frpVMThxMubiThsc-jruKUNxoztzOikuoCUk6xw=s480-c,wait,23/01/2018,,Kaki Lima Liar,-6.199348,106.802368,Petamburan,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1106196,#trotoar #atassaluran Tondano. Terdaftarkah? Atau set*r ke rw?,http://lh3.googleusercontent.com/1HlPxleVJqRuh6Zl6MRZEDCDW0yT3MI3a8Lc4i6IVfXlGP6si-MCaiJtc0Oj5mkW_vKtAYNbk-hXaCjDworj9RG-aYIu=s480-c,wait,26/01/2018,,Kaki Lima Liar,-6.207018,106.808693,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1106197,#trotoar #atassaluran ada ijin? Darimana?,http://lh3.googleusercontent.com/VX1XtmSS9c93gn6hMEBMGIp7iYawi7gJpUcDxtF40h4ywy2-Khi1KhqvWx_n5gopXkwQUKyrvVECwVgzfaVTNDD-x3ak=s480-c,wait,26/01/2018,,Kaki Lima Liar,-6.207018,106.808693,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1106978,PKL sepanjang trotoar ini berjejer apakah legal??,http://lh3.googleusercontent.com/1UP0rindi3qHQP0WBpw7o-feh2_4a3zW6lu5ZV2cpuoSAPULA4puZ7Z9ZVchtkdLrKpwEZ9P4HLcjcZX7xiUz4Yb2f4F=s480-c,wait,28/01/2018,,Kaki Lima Liar,-6.218122,106.798111,Gelora,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1107201,Pkl #trotoar #atassaluran,http://lh3.googleusercontent.com/IyGIrFS33frx4BmrTbms4sB2m3s-FDaiJa4n9otwl5UBY5cDuCF6OlANlx-_Q87x4NMc9cDx8CxLkUgyrOR37JVrfQAsjA=s480-c,wait,29/01/2018,,Kaki Lima Liar,-6.20658,106.80938,Bendungan Hilir,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
